"aname1","aname2","aname3","aname4","aname5","aname6","aname7","aname8"
"강원강릉시내곡점","강원","강릉시","강원 강릉시 범일로","강원강릉시범일로579번길49-2","033","033-643-9954","1175"
"강원강릉시사천해변점","강원","강릉시","강원 강릉시 사천면 진리해변길","강원도강릉시사천면진리해변길99","033","033-644-8881","1175"
"강원강릉시솔올점","강원","강릉시","강원 강릉시 원대로","강원강릉시원대로155","033","033-641-4560","1175"
"강원강릉시입암점","강원","강릉시","강원 강릉시 강변로","강원강릉시강변로410번길36","033","033-643-9976","1175"
"강원강릉시주문진점","강원","강릉시","강원 강릉시 주문진읍 주문로","강원강릉시주문진읍주문로11","033","033-661-4488","1175"
"강원강릉시초당점","강원","강릉시","강원 강릉시 초당원길","강원강릉시초당원길19","033","033-653-9298","1175"
"강원강릉시포남1점","강원","강릉시","강원 강릉시 가작로","강원강릉시가작로287번길7","033","033-652-9976","1175"
"강원강릉시홍제점","강원","강릉시","강원 강릉시 홍제로","강원도강릉시홍제로33","033","033-643-9993","1175"
"강원동해시망상점","강원","동해시","강원 동해시 동해대로","강원동해시동해대로6270-31","033","033-534-3377","1175"
"강원동해시부곡점","강원","동해시","강원 동해시 발한로","강원동해시발한로96","033","033-534-9993","1175"
"강원동해시천곡점","강원","동해시","강원 동해시 한섬로","강원동해시한섬로18","033","033-532-9591","1175"
"강원동해시효가점","강원","동해시","강원 동해시 동해대로","강원동해시동해대로5033","033","033-521-2676","1175"
"강원삼척시교동점","강원","삼척시","강원 삼척시 정상로","강원삼척시정상로10-6","033","033-573-8000","1175"
"강원속초시교동점","강원","속초시","강원 속초시 수복로","강원속초시수복로74","033","033-633-4425","1175"
"강원속초시금호점","강원","속초시","강원 속초시 미시령로","강원속초시미시령로3473","033","033-638-4482","1175"
"강원속초시조양점","강원","속초시","강원 속초시 동해대로","강원속초시동해대로3996","033","033-637-4466","1175"
"강원양구군동면점","강원","양구군","강원 양구군 동면 금강산로","강원도양구군동면금강산로1681","033","033-482-2292","1175"
"강원양구군방산점","강원","양구군","강원 양구군 방산면 장거리길","강원도양구군방산면장거리길18","033","033-481-8892","1175"
"강원양구군양구점","강원","양구군","강원 양구군 양구읍 중앙길","강원양구군양구읍중앙길12","033","033-481-9995","1175"
"강원양양군양양점","강원","양양군","강원 양양군 양양읍 양양로","강원양양군양양읍양양로83-1","033","033-673-4492","1175"
"강원양양군하조대점","강원","양양군","강원 양양군 현북면 조준길","강원양양군현북면조준길6","033","033-672-1658","1175"
"강원영월군영월점","강원","영월군","강원 영월군 영월읍 은행나무길","강원영월군영월읍은행나무길58","033","033-375-9696","1175"
"강원원주시단계점","강원","원주시","강원 원주시 원문로","강원원주시원문로146","033","033-748-0213","1175"
"강원원주시단관점","강원","원주시","강원 원주시 단관초교길","강원원주시단관초교길9","033","033-748-9494","1175"
"강원원주시단구점","강원","원주시","강원 원주시 서원대로","강원원주시서원대로383","033","033-766-4479","1175"
"강원원주시명륜점","강원","원주시","강원 원주시 남산로","강원원주시남산로30","033","033-761-9288","1175"
"강원원주시무실점","강원","원주시","강원 원주시 섬밭들길","강원원주시섬밭들2길16-2","033","033-746-4479","1175"
